anon_id,course_year,course_code,course_name,assessment_mark
Sc12c51bf,2019/0,MATH08058,Calculus and its Applications,100
S4e7a4d3a,2019/0,MATH08057,Introduction to Linear Algebra,81
S4e7a4d3a,2019/0,MATH08058,Calculus and its Applications,72
S14e15c42,2019/0,MATH08057,Introduction to Linear Algebra,86
S14e15c42,2019/0,MATH08058,Calculus and its Applications,70
S28543dd9,2019/0,MATH08057,Introduction to Linear Algebra,70
S28543dd9,2019/0,MATH08058,Calculus and its Applications,95
S790a2c82,2019/0,MATH08057,Introduction to Linear Algebra,100
S790a2c82,2019/0,MATH08058,Calculus and its Applications,100
S113fb01c,2019/0,MATH08057,Introduction to Linear Algebra,81
S113fb01c,2019/0,MATH08058,Calculus and its Applications,96
Scfe93b71,2019/0,MATH08057,Introduction to Linear Algebra,90
Scfe93b71,2019/0,MATH08058,Calculus and its Applications,93
Sdef615f1,2019/0,MATH08057,Introduction to Linear Algebra,86
Sdef615f1,2019/0,MATH08058,Calculus and its Applications,100
Sa75c45bf,2019/0,MATH08057,Introduction to Linear Algebra,79
Sa75c45bf,2019/0,MATH08058,Calculus and its Applications,100
Sdb769d4c,2019/0,MATH08057,Introduction to Linear Algebra,85
Sdb769d4c,2019/0,MATH08058,Calculus and its Applications,100
Sad3edf10,2019/0,MATH08057,Introduction to Linear Algebra,82
Sad3edf10,2019/0,MATH08058,Calculus and its Applications,93
S9b01d3b6,2019/0,MATH08057,Introduction to Linear Algebra,54
S9b01d3b6,2019/0,MATH08058,Calculus and its Applications,0
S37ce7d1e,2019/0,MATH08057,Introduction to Linear Algebra,98
S37ce7d1e,2019/0,MATH08058,Calculus and its Applications,100
Se1e1f4ad,2019/0,MATH08057,Introduction to Linear Algebra,73
Se1e1f4ad,2019/0,MATH08058,Calculus and its Applications,90
Sd84aea10,2019/0,MATH08057,Introduction to Linear Algebra,77
Sd84aea10,2019/0,MATH08058,Calculus and its Applications,91
S1789154a,2019/0,MATH08057,Introduction to Linear Algebra,62
S1789154a,2019/0,MATH08058,Calculus and its Applications,93
S92412b8e,2019/0,MATH08058,Calculus and its Applications,88
S03428d23,2019/0,MATH08057,Introduction to Linear Algebra,93
S03428d23,2019/0,MATH08058,Calculus and its Applications,93
S8c54e08e,2019/0,MATH08057,Introduction to Linear Algebra,62
S8c54e08e,2019/0,MATH08058,Calculus and its Applications,85
S865e6fe3,2019/0,MATH08057,Introduction to Linear Algebra,96
S865e6fe3,2019/0,MATH08058,Calculus and its Applications,94
S882de3fd,2019/0,MATH08057,Introduction to Linear Algebra,77
S882de3fd,2019/0,MATH08058,Calculus and its Applications,88
S0fe05991,2019/0,MATH08057,Introduction to Linear Algebra,99
S0fe05991,2019/0,MATH08058,Calculus and its Applications,100
S943dac55,2019/0,MATH08057,Introduction to Linear Algebra,83
S943dac55,2019/0,MATH08058,Calculus and its Applications,94
Sd4b65a41,2019/0,MATH08057,Introduction to Linear Algebra,81
Sd4b65a41,2019/0,MATH08058,Calculus and its Applications,96
Sc5a974c1,2019/0,MATH08057,Introduction to Linear Algebra,50
S364b472c,2019/0,MATH08057,Introduction to Linear Algebra,96
S364b472c,2019/0,MATH08058,Calculus and its Applications,100
Sb917011e,2020/1,MATH08057,Introduction to Linear Algebra,96
Sb917011e,2020/1,MATH08058,Calculus and its Applications,NA
S517e6485,2019/0,MATH08057,Introduction to Linear Algebra,50
S805eb286,2019/0,MATH08057,Introduction to Linear Algebra,36
S805eb286,2019/0,MATH08058,Calculus and its Applications,49
S5b8209b1,2019/0,MATH08057,Introduction to Linear Algebra,93
S5b8209b1,2019/0,MATH08058,Calculus and its Applications,98
S72dbfd3e,2019/0,MATH08057,Introduction to Linear Algebra,66
S72dbfd3e,2019/0,MATH08058,Calculus and its Applications,98
S4e6e9ca5,2019/0,MATH08057,Introduction to Linear Algebra,88
S4e6e9ca5,2019/0,MATH08058,Calculus and its Applications,100
S5a31a9e0,2019/0,MATH07003,Fundamentals of Algebra and Calculus,99
S1221125f,2019/0,MATH08057,Introduction to Linear Algebra,93
S1221125f,2019/0,MATH08058,Calculus and its Applications,100
Sc3bd0d9a,2019/0,MATH08057,Introduction to Linear Algebra,78
Sc3bd0d9a,2019/0,MATH08058,Calculus and its Applications,98
Sd8b6b9bc,2020/1,MATH08057,Introduction to Linear Algebra,69
Sb0c90ebd,2019/0,MATH08057,Introduction to Linear Algebra,65
Sb0c90ebd,2019/0,MATH08058,Calculus and its Applications,95
