cohort,anon_id,Post,Pre,ILA,CAP,FAC,took_FAC
1920,Sd96d0c2f,NA,81.5,46,NA,NA,No FAC
1920,S517e6485,NA,54,50,NA,NA,No FAC
1920,Sf8019800,NA,78.88,75,NA,NA,No FAC
1920,S7d9236f1,NA,70.13,51,70,0,FAC
1920,S57aad05c,NA,27,0,0,NA,No FAC
1920,Secc926cc,NA,42,NA,NA,55,FAC
1920,S72cc2d3c,NA,81.25,67,NA,NA,No FAC
1920,S8936cdfb,NA,95,86,NA,NA,No FAC
1920,Seaa2c4ad,NA,100,0,0,NA,No FAC
1920,Se6f41337,NA,76.5,NA,NA,73,FAC
1920,S68c9718c,NA,39.75,63,NA,NA,No FAC
1920,S7a684a9c,NA,65.63,48,NA,NA,No FAC
1920,S197fc774,NA,5,NA,NA,52,FAC
1920,S9b104347,NA,84.75,NA,NA,NA,No FAC
1920,Sfcab0c2a,NA,91.25,NA,NA,NA,No FAC
1920,S4df770ca,NA,48.25,66,78,48,FAC
1920,S2c2b079b,NA,17,40,NA,NA,No FAC
1920,Sceb60d29,NA,90,71,0,NA,No FAC
1920,S32d5a477,NA,92,71,53,NA,No FAC
1920,S4fd8b1e0,NA,51.25,NA,0,NA,No FAC
1920,S7bfec137,NA,81.88,64,91,NA,No FAC
1920,S1e464662,NA,84.5,56,NA,NA,No FAC
1920,S23dc03c2,NA,82,60,NA,NA,No FAC
1920,S6a8afbe8,NA,35.88,46,85,NA,No FAC
1920,S42ad947f,NA,90.5,NA,NA,NA,No FAC
1920,S6124c4cf,NA,69,NA,0,NA,No FAC
1920,S8909045f,NA,35.25,NA,0,NA,No FAC
1920,S4c369631,NA,77,86,98,88,FAC
1920,S2edba0ee,NA,41.5,0,NA,NA,No FAC
1920,S55f770e4,NA,81.13,46,NA,NA,No FAC
1920,S4db34741,NA,88.25,43,69,NA,No FAC
1920,S1a980254,NA,72.5,84,NA,NA,No FAC
1920,Sa604d3f8,NA,5,49,54,56,FAC
1920,S5cc88166,NA,52,43,0,51,FAC
1920,S09146c9e,NA,5,73,94,NA,No FAC
1920,Se24cd668,NA,0,62,76,54,FAC
1920,S52eab25b,NA,5,35,0,0,FAC
2021,S710d3d75,90.75,86,84,NA,NA,No FAC
2021,S083f1629,77,90.5,96,NA,NA,No FAC
2021,Sdc027e88,74.5,NA,67,NA,NA,No FAC
2021,S60b6682a,97.5,100,93,NA,NA,No FAC
2021,S7d820c5a,72,76.25,82,NA,NA,No FAC
2021,S2df4f6bb,95,97.75,99,NA,NA,No FAC
2021,S53f65542,79,88.75,78,NA,NA,No FAC
2021,S9a33d0af,57.5,NA,NA,NA,67,FAC
2021,S8ff07223,57,82.63,91,NA,NA,No FAC
2021,Secbd1f82,97,87,65,NA,NA,No FAC
2021,S44b4289b,100,93.25,86,NA,NA,No FAC
2021,Sb8f4784c,81.25,61.25,83,NA,87,FAC
2021,S399db2df,74.63,NA,NA,NA,76,FAC
2021,S2d0e6138,88.25,64.5,87,NA,NA,No FAC
2021,S2aac6bdc,88.88,80.13,75,NA,NA,No FAC
2021,S47878864,95,90,90,NA,NA,No FAC
2021,Se8d21f6b,90,94.5,91,NA,NA,No FAC
2021,Sea50c1a3,94.5,80.13,65,NA,NA,No FAC
2021,S364a58ce,90.13,76.5,83,NA,NA,No FAC
2021,S6c6d6b32,87.5,83,77,NA,NA,No FAC
2021,S3772f20d,100,95,96,NA,NA,No FAC
2021,S9c33cdd3,85,78.75,79,NA,NA,No FAC
2021,S52a5b524,85.25,65,84,NA,61,FAC
2021,S8c5b5aa3,74,58,64,NA,NA,No FAC
2021,Scfbc9278,91.38,100,81,NA,NA,No FAC
2021,S38b726f7,40.13,NA,NA,NA,45,FAC
2021,S63c592a6,91.5,69.5,90,NA,98,FAC
2021,Sf72ef78e,94,70,83,NA,99,FAC
2021,S715fd152,87.88,95.75,86,NA,NA,No FAC
2021,Sff71bbab,83.25,NA,NA,NA,NA,No FAC
2021,S97152fbe,97,78.25,69,NA,NA,No FAC
2021,S5924c649,97,100,96,NA,NA,No FAC
2021,S3600fbee,87,100,95,NA,NA,No FAC
2021,S9b147e36,79.38,90.75,57,NA,NA,No FAC
2021,Sc96eb017,67.63,56.13,60,NA,NA,No FAC
2021,S39b50070,84.5,69,72,NA,NA,No FAC
2021,Sd8f1c51c,64.75,NA,73,NA,NA,No FAC
2021,Sdd0e3dd9,65.38,NA,68,NA,NA,No FAC
2021,S4f3206f7,84.38,65.5,87,NA,NA,No FAC
2021,S5fd8b59e,97,100,94,NA,NA,No FAC
2021,S9aae2aca,97,100,97,NA,NA,No FAC
2021,Seb2a94a7,84,87,77,NA,67,FAC
2021,S9aed8e2a,80.75,62.75,64,NA,NA,No FAC
2021,S77b4dd00,100,NA,83,NA,NA,No FAC
2021,S6851ca87,85.75,92.5,58,NA,NA,No FAC
2021,Sf2f0f092,95,92,74,NA,NA,No FAC
2021,S0271b26e,0,70.25,81,NA,NA,No FAC
2021,Sab683402,100,90.5,92,NA,NA,No FAC
2021,S6ac6cc6e,87,81.75,21,NA,NA,No FAC
2021,S65d1d6fa,66,61.5,77,NA,64,FAC
2021,S19ab1960,97,NA,83,NA,NA,No FAC
2021,S3afd8c6b,100,100,79,NA,72,FAC
2021,Sdc9165e7,86.5,65.25,77,NA,85,FAC
2021,S9435fec1,77,94.5,85,NA,NA,No FAC
2021,Se577b41f,100,81.88,95,NA,NA,No FAC
2021,S5cab8f0b,90,97,82,NA,NA,No FAC
2021,Sc190ab0d,97,97,87,NA,NA,No FAC
2021,S543e8c2d,100,100,96,NA,NA,No FAC
2021,Sbf6cd5b7,74,46.75,62,NA,49,FAC
2021,Se041d611,78.38,74,76,NA,NA,No FAC
2021,Sf8d81f58,93.13,89.5,86,NA,NA,No FAC
